,no,date_time,veg,so,modis,s2_ndvi,fid,gk
0,1,2017-06,0.2,0.0,0.22360234228360604,0.13193496797550539,fid == 192,59070487009
1,2,2017-07,0.004992030077793369,0.003531599586488094,0.2322338088535051,0.08916048072747416,fid == 192,59070487009
2,3,2017-08,0.2008836218098637,0.0,0.35011000445039564,0.2049956396304731,fid == 192,59070487009
3,4,2017-09,0.1827986712596126,0.005775043432925856,0.28041205525381213,0.30487840981735104,fid == 192,59070487009
4,5,2017-10,0.086894531362799,0.01285727486413592,0.0806830364050656,0.09287859014074999,fid == 192,59070487009
5,6,2017-11,0.0,0.0,0.06173945060117454,0.049503607947709326,fid == 192,59070487009
6,7,2017-12,0.0,0.0,0.04426648892022517,0.01645912777395904,fid == 192,59070487009
7,8,2018-01,0.0,0.0,0.03659303601655189,0.05303746974932355,fid == 192,59070487009
8,9,2018-02,0.0,0.0,0.16651346115535012,0.15290287671767905,fid == 192,59070487009
9,10,2018-03,0.08279189840081942,8.496363556397862e-05,0.24396137961687633,0.15348642932254553,fid == 192,59070487009
10,11,2018-04,0.2702169834947025,0.0014057619702403734,0.31502328159037996,0.2570256804621564,fid == 192,59070487009
11,12,2018-05,0.5344143262239301,0.0025530461851216565,0.4736757841443556,0.45050754686167743,fid == 192,59070487009
12,13,2018-06,0.4243283319183825,0.0038214477536947533,0.32567375659535225,0.34731120474174804,fid == 192,59070487009
13,14,2018-07,0.3103275464767775,0.0031927335100576967,0.28199170987098404,0.2921804486458238,fid == 192,59070487009
14,15,2018-08,0.32806481048333475,0.019752990164653983,0.4109937391156305,0.3211937180890359,fid == 192,59070487009
15,16,2018-09,0.39238054260924654,0.009699145062209655,0.35357300100116545,0.31944453047653104,fid == 192,59070487009
16,17,2018-10,0.44955007741535424,0.03856631180036807,0.4102828705509305,0.401944777618562,fid == 192,59070487009
17,18,2018-11,0.0,0.0,0.0775585500833744,0.00921334949898078,fid == 192,59070487009
18,19,2018-12,0.0,0.0,0.003390290234065215,0.03399564415580605,fid == 192,59070487009
19,20,2019-01,0.0,0.0,0.06947810485740119,0.10634060025742213,fid == 192,59070487009
20,21,2019-02,0.0,0.0,0.07387468907714577,0.06535960326886898,fid == 192,59070487009
21,22,2019-03,0.2913612973647309,0.00016992727112795724,0.23165107475196445,0.24070712159027233,fid == 192,59070487009
22,23,2019-04,0.7136527510669847,0.006123268130129191,0.5234409893924236,0.5135353163247709,fid == 192,59070487009
23,24,2019-05,0.20939508723599443,0.008586436116453258,0.2644054289971568,0.2049398602570899,fid == 192,59070487009
24,25,2019-06,0.4339667761087164,0.01295346980381288,0.5157640829012643,0.47976326194113406,fid == 192,59070487009
25,26,2019-07,0.2997900232034074,0.004781953323977337,0.352674025442931,0.2979245412123564,fid == 192,59070487009
26,27,2019-08,0.35890891476225983,0.002949015599101361,0.38863294253616554,0.43399682574697407,fid == 192,59070487009
27,28,2019-09,0.43390072104694655,0.00913454874646984,0.3477085686537609,0.4282659391491793,fid == 192,59070487009
28,29,2019-10,0.23017752568567326,0.002975004475862109,0.24804614824586516,0.3054780692042441,fid == 192,59070487009
29,30,2019-11,0.0004930011167341591,0.0,0.07656675874573098,0.05321885766121565,fid == 192,59070487009
30,31,2019-12,0.05167271741028184,0.0,0.07647576712755158,0.16847513032761524,fid == 192,59070487009
