,no,date_time,veg,so,modis,s2_ndvi,fid,gk
0,1,2017-06,0.3177321156773214,0.009771689497716894,0.30387726367154994,0.30221401207795434,fid == 203,60070094010
1,2,2017-07,0.5191273465246069,0.010700152207001521,0.23336947481109674,0.5719292072763545,fid == 203,60070094010
2,3,2017-08,0.20914764079147652,0.008574327752409943,0.32433764379409186,0.2098199206252711,fid == 203,60070094010
3,4,2017-09,0.0,0.0,0.31927296182064163,0.1835196611423561,fid == 203,60070094010
4,5,2017-10,0.23981988838153243,0.0,0.20455440342970635,0.3959418342465499,fid == 203,60070094010
5,6,2017-11,0.2108777270421104,0.0,0.11472063913555813,0.561896838997597,fid == 203,60070094010
6,7,2017-12,0.0,0.0,0.08155858515468364,0.17361227765656684,fid == 203,60070094010
7,8,2018-01,0.0,0.0,0.043170510157602565,0.12832814158369965,fid == 203,60070094010
8,9,2018-02,0.05328905493289054,0.0,0.10032427419447648,0.28399527762351695,fid == 203,60070094010
9,10,2018-03,0.28611147350873334,0.007497282017829962,0.1991159918151309,0.3843189352188299,fid == 203,60070094010
10,11,2018-04,0.300629122272958,0.006265854895991883,0.25775202144589426,0.2860291920681705,fid == 203,60070094010
11,12,2018-05,0.7745598680872645,0.029852866565195337,0.4619573782549964,0.5211617089388397,fid == 203,60070094010
12,13,2018-06,0.3853120243531199,0.013125317097919838,0.3200352224022648,0.3460007920230723,fid == 203,60070094010
13,14,2018-07,0.3771486555048201,0.02131785895484526,0.3973868410046604,0.33431946050857664,fid == 203,60070094010
14,15,2018-08,0.3608675799086761,0.012980720446473873,0.3426182815301002,0.3332229696715441,fid == 203,60070094010
15,16,2018-09,0.18905377980720475,0.05209791983764583,0.34770916595306567,0.19650779584453892,fid == 203,60070094010
16,17,2018-10,0.36361491628614895,0.0012937595129375952,0.39019624939792236,0.37622232365916686,fid == 203,60070094010
17,18,2018-11,0.11541095890410946,0.0,0.11740739977432352,0.2061491593242236,fid == 203,60070094010
18,19,2018-12,0.0,0.0,0.0326949028199031,0.03315886922140961,fid == 203,60070094010
19,20,2019-01,0.02830113569839599,0.0,0.07084307475041034,0.3150596253000074,fid == 203,60070094010
20,21,2019-02,0.15944513629445162,0.0,0.18629031196077842,0.3106350456470769,fid == 203,60070094010
21,22,2019-03,0.16178589548452574,0.000502283105022831,0.13309445501371792,0.21487364872723047,fid == 203,60070094010
22,23,2019-04,0.48982242516489144,0.020446473871131406,0.415801068702245,0.4383963054717949,fid == 203,60070094010
23,24,2019-05,0.36873233311589443,0.014696673189823876,0.31391995269413947,0.2924401300701014,fid == 203,60070094010
24,25,2019-06,0.7482179096905117,0.026353373921867075,0.5233115399264854,0.5514857079921067,fid == 203,60070094010
25,26,2019-07,0.296910197869102,0.011008371385083714,0.3320484515938405,0.2719203306138062,fid == 203,60070094010
26,27,2019-08,0.2984591968153609,0.031618077508488454,0.40569100405709024,0.31375165266805594,fid == 203,60070094010
27,28,2019-09,0.1952080162354135,0.0007864028411973617,0.23660560488973034,0.20405401263833955,fid == 203,60070094010
28,29,2019-10,0.3392465753424655,0.0,0.1406713689194604,0.3013594034763232,fid == 203,60070094010
29,30,2019-11,0.013115169964485035,0.0006443429731100963,0.060258210608721496,0.059505436903991314,fid == 203,60070094010
30,31,2019-12,0.0,0.0,0.05396576458029734,0.05049101719482486,fid == 203,60070094010
31,32,2020-01,0.002170706006322445,0.016204191546657296,0.064948170240203,0.035143860765829225,fid == 203,60070094010
32,33,2020-02,0.004261796042617962,0.03153175591531756,0.10957000306593412,0.10708926304970706,fid == 203,60070094010
33,34,2020-03,0.014600163915232412,0.3775600046832921,0.2962719355970394,0.24581613640852354,fid == 203,60070094010
34,35,2020-04,0.004317605276509387,0.5487480974124817,0.35132040199170195,0.22125287608967883,fid == 203,60070094010
35,36,2020-05,0.0018696093353627605,0.49966768138001016,0.29894628153453323,0.20092008340780587,fid == 203,60070094010
