id,left,top,right,bottom,SAMPLE_1
"1",24.567485716,54.116489009,24.567685716,54.116689009,
"2",24.567485716,54.116289009,24.567685716,54.116489009,
"3",24.567485716,54.116089009,24.567685716,54.116289009,
"4",24.567485716,54.115889009,24.567685716,54.116089009,
"5",24.567485716,54.115689009,24.567685716,54.115889009,
"6",24.567485716,54.115489009,24.567685716,54.115689009,
"7",24.567485716,54.115289009,24.567685716,54.115489009,
"8",24.567485716,54.115089009,24.567685716,54.115289009,
"9",24.567485716,54.114889009,24.567685716,54.115089009,
"10",24.567485716,54.114689009,24.567685716,54.114889009,
"11",24.567485716,54.114489009,24.567685716,54.114689009,
"12",24.567485716,54.114289009,24.567685716,54.114489009,
"13",24.567485716,54.114089009,24.567685716,54.114289009,
"14",24.567485716,54.113889009,24.567685716,54.114089009,
"15",24.567485716,54.113689009,24.567685716,54.113889009,
"16",24.567485716,54.113489009,24.567685716,54.113689009,
"17",24.567685716,54.116489009,24.567885716,54.116689009,
"18",24.567685716,54.116289009,24.567885716,54.116489009,0.257376134395599
"19",24.567685716,54.116089009,24.567885716,54.116289009,0.238374844193459
"20",24.567685716,54.115889009,24.567885716,54.116089009,0.273419201374054
"21",24.567685716,54.115689009,24.567885716,54.115889009,0.313405990600586
"22",24.567685716,54.115489009,24.567885716,54.115689009,0.207124382257462
"23",24.567685716,54.115289009,24.567885716,54.115489009,0.275909930467606
"24",24.567685716,54.115089009,24.567885716,54.115289009,0.263450115919113
"25",24.567685716,54.114889009,24.567885716,54.115089009,0.27187842130661
"26",24.567685716,54.114689009,24.567885716,54.114889009,0.23228345811367
"27",24.567685716,54.114489009,24.567885716,54.114689009,0.242607057094574
"28",24.567685716,54.114289009,24.567885716,54.114489009,0.230262517929077
"29",24.567685716,54.114089009,24.567885716,54.114289009,0.205073997378349
"30",24.567685716,54.113889009,24.567885716,54.114089009,0.219898924231529
"31",24.567685716,54.113689009,24.567885716,54.113889009,0.258952051401138
"32",24.567685716,54.113489009,24.567885716,54.113689009,0.285390824079514
"33",24.567885716,54.116489009,24.568085716,54.116689009,
"34",24.567885716,54.116289009,24.568085716,54.116489009,0.231521636247635
"35",24.567885716,54.116089009,24.568085716,54.116289009,0.237034916877747
"36",24.567885716,54.115889009,24.568085716,54.116089009,0.290380388498306
"37",24.567885716,54.115689009,24.568085716,54.115889009,0.329605519771576
"38",24.567885716,54.115489009,24.568085716,54.115689009,0.265960663557053
"39",24.567885716,54.115289009,24.568085716,54.115489009,0.217479258775711
"40",24.567885716,54.115089009,24.568085716,54.115289009,0.268047451972961
"41",24.567885716,54.114889009,24.568085716,54.115089009,0.249351173639297
"42",24.567885716,54.114689009,24.568085716,54.114889009,0.205341592431068
"43",24.567885716,54.114489009,24.568085716,54.114689009,0.235676094889641
"44",24.567885716,54.114289009,24.568085716,54.114489009,0.171392872929573
"45",24.567885716,54.114089009,24.568085716,54.114289009,0.181551977992058
"46",24.567885716,54.113889009,24.568085716,54.114089009,0.196231752634048
"47",24.567885716,54.113689009,24.568085716,54.113889009,0.197336822748184
"48",24.567885716,54.113489009,24.568085716,54.113689009,
"49",24.568085716,54.116489009,24.568285716,54.116689009,
"50",24.568085716,54.116289009,24.568285716,54.116489009,0.219063088297844
"51",24.568085716,54.116089009,24.568285716,54.116289009,0.221135765314102
"52",24.568085716,54.115889009,24.568285716,54.116089009,0.267391294240952
"53",24.568085716,54.115689009,24.568285716,54.115889009,0.295953631401062
"54",24.568085716,54.115489009,24.568285716,54.115689009,0.294448345899582
"55",24.568085716,54.115289009,24.568285716,54.115489009,0.208178833127022
"56",24.568085716,54.115089009,24.568285716,54.115289009,0.311883300542831
"57",24.568085716,54.114889009,24.568285716,54.115089009,0.226703211665154
"58",24.568085716,54.114689009,24.568285716,54.114889009,0.267027646303177
"59",24.568085716,54.114489009,24.568285716,54.114689009,0.270914763212204
"60",24.568085716,54.114289009,24.568285716,54.114489009,0.219962298870087
"61",24.568085716,54.114089009,24.568285716,54.114289009,0.236995324492455
"62",24.568085716,54.113889009,24.568285716,54.114089009,0.244819283485413
"63",24.568085716,54.113689009,24.568285716,54.113889009,
"64",24.568085716,54.113489009,24.568285716,54.113689009,
"65",24.568285716,54.116489009,24.568485716,54.116689009,
"66",24.568285716,54.116289009,24.568485716,54.116489009,0.221196457743645
"67",24.568285716,54.116089009,24.568485716,54.116289009,0.266358882188797
"68",24.568285716,54.115889009,24.568485716,54.116089009,0.203096270561218
"69",24.568285716,54.115689009,24.568485716,54.115889009,0.288202852010727
"70",24.568285716,54.115489009,24.568485716,54.115689009,0.310323774814606
"71",24.568285716,54.115289009,24.568485716,54.115489009,0.218397811055183
"72",24.568285716,54.115089009,24.568485716,54.115289009,0.251662313938141
"73",24.568285716,54.114889009,24.568485716,54.115089009,0.192030355334282
"74",24.568285716,54.114689009,24.568485716,54.114889009,0.245275661349297
"75",24.568285716,54.114489009,24.568485716,54.114689009,0.259009897708893
"76",24.568285716,54.114289009,24.568485716,54.114489009,0.286701917648315
"77",24.568285716,54.114089009,24.568485716,54.114289009,0.298775672912598
"78",24.568285716,54.113889009,24.568485716,54.114089009,0.305257648229599
"79",24.568285716,54.113689009,24.568485716,54.113889009,
"80",24.568285716,54.113489009,24.568485716,54.113689009,
"81",24.568485716,54.116489009,24.568685716,54.116689009,
"82",24.568485716,54.116289009,24.568685716,54.116489009,0.238574892282486
"83",24.568485716,54.116089009,24.568685716,54.116289009,0.269624561071396
"84",24.568485716,54.115889009,24.568685716,54.116089009,0.214312613010406
"85",24.568485716,54.115689009,24.568685716,54.115889009,0.249149486422539
"86",24.568485716,54.115489009,24.568685716,54.115689009,0.25128099322319
"87",24.568485716,54.115289009,24.568685716,54.115489009,0.229039251804352
"88",24.568485716,54.115089009,24.568685716,54.115289009,0.197003751993179
"89",24.568485716,54.114889009,24.568685716,54.115089009,0.15907421708107
"90",24.568485716,54.114689009,24.568685716,54.114889009,0.256728768348694
"91",24.568485716,54.114489009,24.568685716,54.114689009,0.274040818214417
"92",24.568485716,54.114289009,24.568685716,54.114489009,0.296314388513565
"93",24.568485716,54.114089009,24.568685716,54.114289009,0.297279924154282
"94",24.568485716,54.113889009,24.568685716,54.114089009,0.331216424703598
"95",24.568485716,54.113689009,24.568685716,54.113889009,
"96",24.568485716,54.113489009,24.568685716,54.113689009,
"97",24.568685716,54.116489009,24.568885716,54.116689009,
"98",24.568685716,54.116289009,24.568885716,54.116489009,0.235202640295029
"99",24.568685716,54.116089009,24.568885716,54.116289009,0.280374735593796
"100",24.568685716,54.115889009,24.568885716,54.116089009,0.226038724184036
"101",24.568685716,54.115689009,24.568885716,54.115889009,0.182327061891556
"102",24.568685716,54.115489009,24.568885716,54.115689009,0.229200646281242
"103",24.568685716,54.115289009,24.568885716,54.115489009,0.241487890481949
"104",24.568685716,54.115089009,24.568885716,54.115289009,0.187763512134552
"105",24.568685716,54.114889009,24.568885716,54.115089009,0.142618536949158
"106",24.568685716,54.114689009,24.568885716,54.114889009,0.257641077041626
"107",24.568685716,54.114489009,24.568885716,54.114689009,0.31429123878479
"108",24.568685716,54.114289009,24.568885716,54.114489009,0.296912103891373
"109",24.568685716,54.114089009,24.568885716,54.114289009,0.254722952842712
"110",24.568685716,54.113889009,24.568885716,54.114089009,
"111",24.568685716,54.113689009,24.568885716,54.113889009,
"112",24.568685716,54.113489009,24.568885716,54.113689009,
"113",24.568885716,54.116489009,24.569085716,54.116689009,
"114",24.568885716,54.116289009,24.569085716,54.116489009,0.235348150134087
"115",24.568885716,54.116089009,24.569085716,54.116289009,0.270264953374863
"116",24.568885716,54.115889009,24.569085716,54.116089009,0.243807822465897
"117",24.568885716,54.115689009,24.569085716,54.115889009,0.158563941717148
"118",24.568885716,54.115489009,24.569085716,54.115689009,0.273326218128204
"119",24.568885716,54.115289009,24.569085716,54.115489009,0.252977699041367
"120",24.568885716,54.115089009,24.569085716,54.115289009,0.169030278921127
"121",24.568885716,54.114889009,24.569085716,54.115089009,0.168274387717247
"122",24.568885716,54.114689009,24.569085716,54.114889009,0.188606932759285
"123",24.568885716,54.114489009,24.569085716,54.114689009,0.29838553071022
"124",24.568885716,54.114289009,24.569085716,54.114489009,0.283668220043182
"125",24.568885716,54.114089009,24.569085716,54.114289009,0.289801150560379
"126",24.568885716,54.113889009,24.569085716,54.114089009,
"127",24.568885716,54.113689009,24.569085716,54.113889009,
"128",24.568885716,54.113489009,24.569085716,54.113689009,
"129",24.569085716,54.116489009,24.569285716,54.116689009,
"130",24.569085716,54.116289009,24.569285716,54.116489009,0.246034666895866
"131",24.569085716,54.116089009,24.569285716,54.116289009,0.27776113152504
"132",24.569085716,54.115889009,24.569285716,54.116089009,0.243451952934265
"133",24.569085716,54.115689009,24.569285716,54.115889009,0.176306754350662
"134",24.569085716,54.115489009,24.569285716,54.115689009,0.261485457420349
"135",24.569085716,54.115289009,24.569285716,54.115489009,0.22412420809269
"136",24.569085716,54.115089009,24.569285716,54.115289009,0.145314618945122
"137",24.569085716,54.114889009,24.569285716,54.115089009,0.210589647293091
"138",24.569085716,54.114689009,24.569285716,54.114889009,0.172439754009247
"139",24.569085716,54.114489009,24.569285716,54.114689009,0.235150694847107
"140",24.569085716,54.114289009,24.569285716,54.114489009,0.240683406591415
"141",24.569085716,54.114089009,24.569285716,54.114289009,
"142",24.569085716,54.113889009,24.569285716,54.114089009,
"143",24.569085716,54.113689009,24.569285716,54.113889009,
"144",24.569085716,54.113489009,24.569285716,54.113689009,
"145",24.569285716,54.116489009,24.569485716,54.116689009,
"146",24.569285716,54.116289009,24.569485716,54.116489009,0.269175410270691
"147",24.569285716,54.116089009,24.569485716,54.116289009,0.271846741437912
"148",24.569285716,54.115889009,24.569485716,54.116089009,0.209039553999901
"149",24.569285716,54.115689009,24.569485716,54.115889009,0.184240579605103
"150",24.569285716,54.115489009,24.569485716,54.115689009,0.209905207157135
"151",24.569285716,54.115289009,24.569485716,54.115489009,0.17395456135273
"152",24.569285716,54.115089009,24.569485716,54.115289009,0.15422885119915
"153",24.569285716,54.114889009,24.569485716,54.115089009,0.164881467819214
"154",24.569285716,54.114689009,24.569485716,54.114889009,0.222998037934303
"155",24.569285716,54.114489009,24.569485716,54.114689009,0.222554221749306
"156",24.569285716,54.114289009,24.569485716,54.114489009,0.312581330537796
"157",24.569285716,54.114089009,24.569485716,54.114289009,0.334368646144867
"158",24.569285716,54.113889009,24.569485716,54.114089009,
"159",24.569285716,54.113689009,24.569485716,54.113889009,
"160",24.569285716,54.113489009,24.569485716,54.113689009,
"161",24.569485716,54.116489009,24.569685716,54.116689009,
"162",24.569485716,54.116289009,24.569685716,54.116489009,0.281044483184814
"163",24.569485716,54.116089009,24.569685716,54.116289009,0.273172229528427
"164",24.569485716,54.115889009,24.569685716,54.116089009,0.193956643342972
